Patient Payer Name,Cohort Patient Count or %
UNITEDHEALTHCARE,43780.000000000000
HUMANA,25584.000000000000
MEDICARE FFS,25471.000000000000
CIGNA,17324.000000000000
ANTHEM BLUECROSS BLUESHIELD,17172.000000000000
AETNA,16846.000000000000
MOLINA HEALTHCARE,13784.000000000000
Unknown,12272.000000000000
AETNA BETTER HEALTH,10983.000000000000
BLUE CROSS BLUE SHIELD BLUE CARE NETWORK OF MICHIGAN,9575.000000000000
WELLPOINT (AMERIGROUP),9490.000000000000
BLUECROSS BLUESHIELD OF TEXAS,9471.000000000000
UHC COMMUNITY PLAN,7194.000000000000
CARESOURCE,7147.000000000000
WELLCARE,6518.000000000000
BLUECROSS BLUESHIELD OF ILLINOIS,5520.000000000000
ANTHEM BLUE CROSS (CA),5173.000000000000
WELL SENSE HEALTH PLAN,4364.000000000000
MERCY CARE ADVANTAGE,3959.000000000000
AMERIHEALTH CARITAS,3682.000000000000
FLORIDA BLUE,3649.000000000000
UPMC HEALTH PLAN,3516.000000000000
LOUISIANA HEALTHCARE CONNECTIONS,3502.000000000000
TRICARE,3449.000000000000
BLUECROSS BLUESHIELD OF NORTH CAROLINA,3431.000000000000
EXCELLUS BLUECROSS BLUESHIELD,3377.000000000000
KAISER PERMANENTE,3283.000000000000
INLAND EMPIRE HEALTH PLAN,3197.000000000000
BLUE SHIELD OF CALIFORNIA,3160.000000000000
MERIDIAN HEALTH PLAN,3066.000000000000
HORIZON BLUE CROSS BLUE SHIELD OF NEW JERSEY,3017.000000000000
HEALTH NET,2945.000000000000
PRIORITY HEALTH,2695.000000000000
MEDICAL MUTUAL OF OHIO,2683.000000000000
CENTENE PLANS,2460.000000000000
HORIZON NJ HEALTH,2409.000000000000
SENTARA HEALTH PLANS,2274.000000000000
FIDELIS CARE,2232.000000000000
SELECT HEALTH,2148.000000000000
CAREFIRST BLUECROSS BLUESHIELD,2126.000000000000
HEALTHFIRST,2105.000000000000
AMBETTER,2055.000000000000
PASSPORT HEALTH PLAN,2048.000000000000
BLUECROSS BLUESHIELD MINNESOTA,1979.000000000000
HIGHMARK BLUE SHIELD (PA),1955.000000000000
STATE FFS MEDICAID (CT),1952.000000000000
BLUE CROSS BLUE SHIELD OF MASSACHUSETTS,1925.000000000000
BLUECROSS BLUESHIELD OF GEORGIA,1923.000000000000
BLUECROSS BLUESHIELD OF TENNESSEE,1898.000000000000
LA CARE,1759.000000000000
PREMERA BLUE CROSS,1720.000000000000
MVP HEALTH CARE,1681.000000000000
BLUECROSS BLUESHIELD SOUTH CAROLINA,1578.000000000000
AMERIHEALTH PENNSYLVANIA,1570.000000000000
CALOPTIMA,1568.000000000000
GEISINGER HEALTH PLAN,1545.000000000000
SUNSHINE HEALTH,1501.000000000000
COVENTRY HEALTH CARE,1491.000000000000
KEYSTONE HEALTH PLAN EAST,1482.000000000000
STATE FFS MEDICAID (NC),1452.000000000000
COMMUNITY HEALTH PLAN OF WASHINGTON,1442.000000000000
BLUECROSS BLUESHIELD OF ALABAMA,1421.000000000000
SUPERIOR HEALTHPLAN,1395.000000000000
BLUECROSS BLUESHIELD OF LOUISIANA,1327.000000000000
BANNER UNIVERSITY FAMILY CARE,1320.000000000000
BUCKEYE HEALTH PLAN,1313.000000000000
CIGNA HEALTHSPRING,1312.000000000000
HIGHMARK WHOLECARE,1235.000000000000
MEDICAID,1229.000000000000
ARKANSAS BLUECROSS BLUESHIELD,1177.000000000000
STATE FFS MEDICAID (OK),1165.000000000000
HEALTHY BLUE (LA),1133.000000000000
BLUECROSS BLUESHIELD OF OKLAHOMA,1101.000000000000
STATE FFS MEDICAID (CO),1070.000000000000
STATE FFS MEDICAID (CA),1062.000000000000
UCARE,1032.000000000000
VA,1020.000000000000
STATE FFS MEDICAID (WI),1018.000000000000
MARYLAND PHYSICIANS CARE,999.000000000000
EMBLEMHEALTH (HIP),982.000000000000
BLUES PLAN,947.000000000000
BLUECROSS BLUESHIELD OF ARIZONA,909.000000000000
CAREOREGON,906.000000000000
PRESBYTERIAN HEALTH PLAN,892.000000000000
SIMPLY HEALTHCARE,892.000000000000
PRIORITY PARTNERS,887.000000000000
HEALTH CHOICE ARIZONA,877.000000000000
OSCAR,874.000000000000
REGENCE BLUESHIELD (WA),867.000000000000
BLUECROSS BLUESHIELD KANSAS CITY,840.000000000000
HIGHMARK BLUE CROSS BLUE SHIELD DELAWARE,838.000000000000
BLUECROSS BLUESHIELD OF NEW MEXICO,806.000000000000
EMPIRE BLUECROSS BLUESHIELD,801.000000000000
BLUE SHIELD OF CALIFORNIA PROMISE HEALTH PLAN,764.000000000000
STATE FFS MEDICAID (MA),749.000000000000
TUFTS HEALTH PLAN,747.000000000000
PACIFICSOURCE HEALTH PLANS,742.000000000000
STATE FFS MEDICAID (ME),738.000000000000
PARTNERSHIP HEALTHPLAN OF CALIFORNIA,722.000000000000
VIRGINIA PREMIER HEALTH PLAN,679.000000000000
EMBLEMHEALTH (GHI),676.000000000000
COMMONWEALTH CARE ALLIANCE,670.000000000000
HEALTH ALLIANCE PLAN OF MICHIGAN,659.000000000000
UNICARE,658.000000000000
INDEPENDENCE BLUE CROSS,656.000000000000
STATE FFS MEDICAID (MO),654.000000000000
BLUE CROSS AND BLUE SHIELD OF NEBRASKA,634.000000000000
WELLMARK BLUE CROSS AND BLUE SHIELD,631.000000000000
CDPHP,617.000000000000
NEIGHBORHOOD HEALTH PLAN OF RHODE ISLAND,605.000000000000
STATE FFS MEDICAID (GA),605.000000000000
SELECT HEALTH OF SOUTH CAROLINA,602.000000000000
MCLAREN HEALTH PLAN,598.000000000000
MDWISE,594.000000000000
STATE FFS MEDICAID (ID),594.000000000000
BLUE CROSS OF IDAHO,571.000000000000
REGENCE BLUECROSS BLUESHIELD OF OREGON,564.000000000000
HEALTHPARTNERS (MN),542.000000000000
METROPLUS HEALTH PLAN,540.000000000000
THE HEALTH PLAN,494.000000000000
HEALTH PARTNERS PLANS (PA),492.000000000000
FALLON COMMUNITY HEALTH PLAN,488.000000000000
MODA HEALTH,483.000000000000
HARVARD PILGRIM HEALTH CARE,482.000000000000
INTERCOMMUNITY HEALTH NETWORK,480.000000000000
PARAMOUNT,467.000000000000
BLUECROSS BLUESHIELD OF KANSAS,449.000000000000
GEHA,437.000000000000
IOWA TOTAL CARE,432.000000000000
TEXAS CHILDREN'S HEALTH PLAN,429.000000000000
STATE FFS MEDICAID (NV),427.000000000000
MHS INDIANA,426.000000000000
BLUECROSS BLUESHIELD OF MISSISSIPPI,423.000000000000
HEALTH PLAN OF SAN JOAQUIN,401.000000000000
COUNTYCARE HEALTH PLAN,399.000000000000
STATE FFS MEDICAID (AL),394.000000000000
PEACH STATE HEALTH PLAN,392.000000000000
MEDICA,390.000000000000
HIGHMARK BLUE CROSS BLUE SHIELD WEST VIRGINIA,389.000000000000
DEAN HEALTH PLAN,386.000000000000
ARIZONA COMPLETE HEALTH,382.000000000000
NETWORK HEALTH,375.000000000000
STATE FFS MEDICAID (IN),372.000000000000
MEDSTAR FAMILY CHOICE,362.000000000000
SIERRA HEALTH AND LIFE,357.000000000000
COMMUNITY HEALTH GROUP,350.000000000000
BRIGHT HEALTH,347.000000000000
MAGELLAN COMPLETE CARE,345.000000000000
STATE FFS MEDICAID (OH),343.000000000000
UNITED MEDICAL RESOURCES TPA,342.000000000000
STATE FFS MEDICAID (MN),339.000000000000
KERN HEALTH SYSTEMS,337.000000000000
STATE FFS MEDICAID (VT),333.000000000000
WELL SENSE HEALTH PLAN NH,330.000000000000
BLUECARE TENNESSEE,322.000000000000
SCAN DESERT HEALTH PLAN,321.000000000000
CENTRAL CALIFORNIA ALLIANCE FOR HEALTH,319.000000000000
AMERIHEALTH CARITAS FLORIDA,315.000000000000
PROVIDENCE HEALTH PLAN,311.000000000000
CAREPLUS HEALTH PLANS,301.000000000000
CHRISTUS HEALTH PLAN,295.000000000000
STATE FFS MEDICAID (MT),282.000000000000
STATE FFS MEDICAID (MD),276.000000000000
STATE FFS MEDICAID (IL),270.000000000000
SCOTT & WHITE HEALTH PLAN,262.000000000000
WEB TPA,260.000000000000
STATE FFS MEDICAID (FL),252.000000000000
CAPITAL BLUECROSS,250.000000000000
UMPQUA HEALTH ALLIANCE,248.000000000000
COMMUNITY HEALTH CHOICE,241.000000000000
REGENCE BLUECROSS BLUESHIELD OF UTAH,240.000000000000
STATE FFS MEDICAID (AR),237.000000000000
CORESOURCE (TRUSTMARK),236.000000000000
COLORADO ACCESS,230.000000000000
STATE FFS MEDICAID (TX),226.000000000000
QUARTZ,226.000000000000
UHC OXFORD,226.000000000000
CONNECTICARE,223.000000000000
MAGNOLIA HEALTH,222.000000000000
STATE FFS MEDICAID (NY),220.000000000000
ALLCARE HEALTH PLAN,217.000000000000
ILLINICARE HEALTH,214.000000000000
1199 SEIU,213.000000000000
HEALTH PLAN OF NEVADA,209.000000000000
AFFINITY HEALTH PLAN,207.000000000000
SECURITY HEALTH PLAN,205.000000000000
HOME STATE HEALTH,202.000000000000
STAYWELL (WELLCARE),196.000000000000
NEBRASKA TOTAL CARE,191.000000000000
CALIFORNIA HEALTH & WELLNESS,185.000000000000
GOLD COAST HEALTH PLAN,185.000000000000
INDEPENDENT HEALTH,184.000000000000
WESTERN HEALTH ADVANTAGE,183.000000000000
HEALTH NEW ENGLAND,182.000000000000
COMMUNITY FIRST HEALTH PLANS,175.000000000000
SHARP HEALTH PLAN,173.000000000000
ALIGNMENT HEALTH PLAN,173.000000000000
ROCKY MOUNTAIN HEALTH PLANS,172.000000000000
SANFORD HEALTH PLAN,171.000000000000
HEALTH PLANS INC,168.000000000000
DRISCOLL HEALTH PLAN,167.000000000000
STATE FFS MEDICAID (NJ),166.000000000000
BLUECROSS BLUESHIELD OF WESTERN NEW YORK,161.000000000000
STATE FFS MEDICAID (MI),159.000000000000
HEALTHCHOICE,158.000000000000
MEDCOST,157.000000000000
SUNFLOWER HEALTH PLAN,155.000000000000
ALLIED BENEFIT SYSTEMS,152.000000000000
PREFERREDONE,150.000000000000
BLUE CROSS BLUE SHIELD OF RHODE ISLAND,148.000000000000
COMMUNITYCARE (OK),146.000000000000
FREEDOM HEALTH,140.000000000000
STATE FFS MEDICAID (WV),138.000000000000
MUTUAL OF OMAHA,136.000000000000
STATE FFS MEDICAID (WY),136.000000000000
TRILLIUM COMMUNITY HEALTH PLAN,136.000000000000
BLUECROSS BLUESHIELD OF MONTANA,131.000000000000
CHORUS COMMUNITY HEALTH PLANS,131.000000000000
STATE FFS MEDICAID (VA),130.000000000000
CLOVER HEALTH,129.000000000000
STATE FFS MEDICAID (AK),125.000000000000
HAWAII MEDICAL SERVICE ASSOCIATION (BCBS),124.000000000000
MAGNACARE,122.000000000000
VISION,121.000000000000
STATE FFS MEDICAID (KY),121.000000000000
STATE FFS MEDICAID (UT),120.000000000000
CENCAL HEALTH,119.000000000000
BLUECROSS BLUESHIELD OF VERMONT,118.000000000000
BLUE CROSS BLUE SHIELD OF NORTH DAKOTA,117.000000000000
ABSOLUTE TOTAL CARE,116.000000000000
COLORADO COMMUNITY HEALTH ALLIANCE,113.000000000000
JAI MEDICAL SYSTEMS,110.000000000000
TOTAL HEALTH CARE,110.000000000000
STATE FFS MEDICAID (AZ),108.000000000000
COVID PROGRAMS,106.000000000000
NEW HAMPSHIRE HEALTHY FAMILIES,106.000000000000
UPPER PENINSULA HEALTH PLAN,105.000000000000
OTHER,104.000000000000
HEALTHSCOPE,103.000000000000
BLUE CROSS BLUE SHIELD OF WYOMING,101.000000000000
STATE FFS MEDICAID (OR),96.000000000000
MARTIN'S POINT HEALTHCARE,96.000000000000
ICARE,96.000000000000
DENTAL,95.000000000000
FLORIDA HEALTH CARE PLANS,93.000000000000
HENNEPIN HEALTH,92.000000000000
OHIO STATE UNIVERSITY (TRUSTMARK),91.000000000000
OPTIMUM HEALTHCARE,90.000000000000
STATE FFS MEDICAID (MS),90.000000000000
BRAND NEW DAY,87.000000000000
AVMED,86.000000000000
AMERIHEALTH NEW JERSEY,84.000000000000
GROUP HEALTH COOPERATIVE OF SOUTH CENTRAL WISCONSIN,84.000000000000
GROUP HEALTH COOPERATIVE OF EAU CLAIRE,84.000000000000
PARKLAND COMMUNITY HEALTH PLAN,84.000000000000
UTAH PUBLIC EMPLOYEES HEALTH PLAN,83.000000000000
VALLEY HEALTH PLAN,82.000000000000
COORDINATED CARE,81.000000000000
COOK CHILDREN'S HEALTH PLAN,80.000000000000
REGENCE BLUESHIELD OF IDAHO,79.000000000000
ALAMEDA ALLIANCE FOR HEALTH,79.000000000000
PRIMEWEST HEALTH,79.000000000000
SANTA CLARA FAMILY HEALTH PLAN,78.000000000000
COMMUNITY HEALTH OPTIONS,78.000000000000
STATE FFS MEDICAID (SD),77.000000000000
EMPOWER HEALTHCARE SOLUTIONS,76.000000000000
AULTCARE,76.000000000000
VIVA HEALTH,76.000000000000
UNIVERSITY OF MICHIGAN HEALTH PLAN (UM HEALTH PLAN),75.000000000000
CAREFIRST BLUECROSS BLUESHIELD COMMUNITY HEALTH PLAN MARYLAND,74.000000000000
COMMUNITY CARE HEALTH PLAN (WI),71.000000000000
CONTRA COSTA HEALTH PLAN,71.000000000000
ALLIANT HEALTH PLANS,70.000000000000
HOMETOWN HEALTH,69.000000000000
SILVERSUMMIT HEALTHPLAN,67.000000000000
ARKANSAS TOTAL CARE,66.000000000000
FRIDAY HEALTH PLANS,64.000000000000
ESSENCE HEALTHCARE,64.000000000000
JACKSON CARE CONNECT,64.000000000000
HIGHMARK BCBS OF WESTERN NEW YORK AND NORTHEASTERN NEW YORK,62.000000000000
WEST VIRGINIA FAMILY HEALTH,61.000000000000
STATE FFS MEDICAID (SC),61.000000000000
ALOHACARE,61.000000000000
ATRIO HEALTH PLANS,60.000000000000
AVERA HEALTH PLANS,59.000000000000
STATE FFS MEDICAID (ND),59.000000000000
STATE FFS MEDICAID (IA),57.000000000000
DEVOTED HEALTH,56.000000000000
STATE FFS MEDICAID (WA),56.000000000000
HEALTH PLAN OF SAN MATEO,56.000000000000
COMMON GROUND HEALTHCARE COOPERATIVE,53.000000000000
PEOPLE'S HEALTH,53.000000000000
WPS HEALTH PLAN,53.000000000000
STATE FFS MEDICAID (DC),53.000000000000
VANTAGE HEALTH PLAN,49.000000000000
STATE FFS MEDICAID (PA),49.000000000000
PROMINENCE HEALTH PLAN,48.000000000000
ALTAMED,48.000000000000
CAPITAL HEALTH PLAN,47.000000000000
CAREFIRST ADMINISTRATORS,47.000000000000
WEA INSURANCE,45.000000000000
STATE FFS MEDICAID (KS),44.000000000000
TRUSTED HEALTH PLAN,44.000000000000
MASS GENERAL BRIGHAM HEALTH PLAN,44.000000000000
CARE N CARE,43.000000000000
ALLWELL,42.000000000000
ONECARE CONNECT,42.000000000000
GILSBAR,42.000000000000
SAN FRANCISCO HEALTH PLAN,41.000000000000
HEALTH SHARE OF OREGON,40.000000000000
HEALTH ALLIANCE MEDICAL PLANS,39.000000000000
INDIANA UNIVERSITY HEALTH PLANS,38.000000000000
TRIPLE-S ADVANTAGE (BCBS),38.000000000000
MISSOURI CARE,38.000000000000
COMMUNITY CARE PLAN (FL),36.000000000000
EASTERN OREGON CCO,36.000000000000
ELDERPLAN,36.000000000000
SAMARITAN HEALTH PLAN,35.000000000000
CORPORATE BENEFIT SERVICE,34.000000000000
VNS HEALTH,34.000000000000
TEACHERS HEALTH TRUST,34.000000000000
HEALTHSUN HEALTH PLANS,34.000000000000
CARE IMPROVEMENT PLUS,34.000000000000
PREFERRED CARE PARTNERS,33.000000000000
CULINARY WORKERS UNION,32.000000000000
QUALCHOICE,32.000000000000
SCRIPPS CLINIC HEALTH PLAN,30.000000000000
YAMHILL COMMUNITY CARE ORGANIZATION,30.000000000000
WESTERN SKY COMMUNITY CARE,29.000000000000
DENVER HEALTH MEDICAL PLAN,29.000000000000
MEDBEN,29.000000000000
HEALTHY U MEDICAID,29.000000000000
SUMMACARE,29.000000000000
SOUTH COUNTRY HEALTH ALLIANCE,28.000000000000
SUTTER HEALTH PLUS,27.000000000000
CENTERS PLAN FOR HEALTHY LIVING,26.000000000000
PHYSICIANS HEALTH PLAN OF NORTHERN INDIANA,26.000000000000
SIHO INSURANCE SERVICES,26.000000000000
ALL SAVERS INSURANCE,26.000000000000
STATE FFS MEDICAID (LA),25.000000000000
EL PASO HEALTH,24.000000000000
CASCADE HEALTH ALLIANCE,24.000000000000
PIEDMONT COMMUNITY HEALTH PLAN,23.000000000000
CAROLINA COMPLETE HEALTH,22.000000000000
AUTOMATED BENEFIT SERVICES,21.000000000000
POMCO,21.000000000000
JOHN HOPKINS ADVANTAGE MD,21.000000000000
STATE FFS MEDICAID (TN),21.000000000000
HEALTHSMART,21.000000000000
UNITED MINE WORKERS OF AMERICA,20.000000000000
FAMILY HEALTH NETWORK,19.000000000000
VILLAGECARE,19.000000000000
GLOBALHEALTH,19.000000000000
HAWAII MEDICAL ASSURANCE ASSOCIATION,19.000000000000
HEALTH FIRST HEALTH PLANS,18.000000000000
MEDICAL ASSOCIATES HEALTH PLAN,17.000000000000
UNIVERSITY OF UTAH HEALTH PLANS,17.000000000000
UHA HEALTH INSURANCE,16.000000000000
LIFEWISE HEALTH PLAN OF OREGON,16.000000000000
STATE FFS MEDICAID (NM),16.000000000000
TRUE HEALTH NEW MEXICO,15.000000000000
STATE FFS MEDICAID (NH),15.000000000000
ULTIMATE HEALTH PLANS,15.000000000000
ASPIRUS HEALTH PLAN,13.000000000000
MMM,13.000000000000
AMERIHEALTH MICHIGAN,13.000000000000
VISTA HEALTHPLAN,13.000000000000
NEW MEXICO HEALTH CONNECTIONS,12.000000000000
STATE FFS MEDICAID (DE),12.000000000000
NIPPON LIFE BENEFITS,12.000000000000
SENDERO HEALTH PLANS,11.000000000000
BLUECHOICE HEALTHPLAN SOUTH CAROLINA,11.000000000000
HEALTHTRADITION,10.000000000000
CENPATICO,10.000000000000
CENTRAL HEALTH PLAN OF CALIFORNIA,10.000000000000
ASURIS NORTHWEST HEALTH,10.000000000000
ALTIUS,10.000000000000
MMO SUPERMED PPO NETWORK,9.000000000000
COX HEALTHPLANS,9.000000000000
HIGHMARK BLUE CROSS BLUE SHIELD (PA),9.000000000000
VENTURA COUNTY HEALTH CARE PLAN,7.000000000000
MEDIGOLD,7.000000000000
FIRSTCAROLINACARE INSURANCE COMPANY,7.000000000000
MANAGED CARE SYSTEMS,7.000000000000
MCS CLASSICARE,7.000000000000
DAKOTACARE,6.000000000000
ADVANCED HEALTH,6.000000000000
IMPERIAL HEALTH PLAN,6.000000000000
STATE FFS MEDICAID (RI),6.000000000000
POSITIVE HEALTHCARE,5.000000000000
MY CHOICE WISCONSIN,5.000000000000
AMERICAN POSTAL WORKERS UNION,5.000000000000
AMIDA CARE,5.000000000000
PROVIDER PARTNERS HEALTH PLAN,4.000000000000
PREFERRED CARE NETWORK,4.000000000000
CALVIVA HEALTH,4.000000000000
MEMORIAL HERMANN HEALTH PLAN,4.000000000000
INNOVATION HEALTH,4.000000000000
SENIOR WHOLE HEALTH,4.000000000000
GUNDERSEN HEALTH PLAN,4.000000000000
OHIOHEALTHY,4.000000000000
KELSEYCARE ADVANTAGE,3.000000000000
OHANA HEALTH PLAN,3.000000000000
EASY CHOICE HEALTH PLAN (CA),3.000000000000
CENTERLIGHT HEALTHCARE,3.000000000000
BANNER HEALTH,3.000000000000
SISC (BLUE CROSS CALIFORNIA),3.000000000000
DOCTORS HEALTHCARE PLANS,3.000000000000
COMMUNITY CARE ALLIANCE OF ILLINOIS,3.000000000000
MONTANA HEALTH CO-OP,3.000000000000
SOUNDPATH HEALTH,3.000000000000
PARTNERS HEALTH PLAN,2.000000000000
ASPIRE HEALTH PLAN,2.000000000000
HAMASPIK CHOICE,2.000000000000
EMPIRE PLAN (UHC),2.000000000000
COMMUNITY CARE BEHAVIORAL HEALTH,2.000000000000
CCHP HEALTH PLAN,2.000000000000
VACCINES,2.000000000000
ZING HEALTH,2.000000000000
SELECTCARE,2.000000000000
COLUMBIA PACIFIC CCO,2.000000000000
LIGHTHOUSE HEALTH PLAN,2.000000000000
MAGELLAN BEHAVIORAL HEALTH,2.000000000000
BEACON HEALTH STRATEGIES,2.000000000000
VIBRA HEALTH PLAN,2.000000000000
AMERICAN HEALTH ADVANTAGE,2.000000000000
MAIL HANDLERS BENEFIT PLAN,1.000000000000
CAREPARTNERS OF CONNECTICUT,1.000000000000
PA HEALTH & WELLNESS,1.000000000000
MIAMI CHILDREN'S HEALTH PLAN,1.000000000000
GOLDEN STATE MEDICARE HEALTH PLAN,1.000000000000
OPTUM MEDICAL NETWORK,1.000000000000
PMC MEDICARE CHOICE,1.000000000000
HIGH DESERT MEDICAL GROUP,1.000000000000
OPTUM BEHAVIORAL HEALTH,1.000000000000
STANFORD HEALTH CARE ADVANTAGE,1.000000000000
UNITED BEHAVIORAL HEALTH,1.000000000000
SPARROW PHP,1.000000000000
TROY MEDICARE,1.000000000000
LONGEVITY HEALTH PLAN,1.000000000000
SETON HEALTH PLAN,1.000000000000
HEALTHPARTNERS UNITYPOINT HEALTH,1.000000000000
SIMPRA ADVANTAGE,1.000000000000
PROSPECT MEDICAL GROUP,1.000000000000
MHS HEALTH WISCONSIN,1.000000000000
BAYCARE SELECT HEALTH PLANS,1.000000000000
ALLIED PHYSICIANS,1.000000000000
BRIDGESPAN,1.000000000000
REGAL MEDICAL GROUP,1.000000000000
HEALTH CARE LA,1.000000000000
